,title,location,company,salary,summary
0,Junior Full Stack Developer (JavaScript),"Remote in Los Alamos, NM 87544","Edgewater Federal Solutions, Inc.",Full-time,"The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment,…"
1,Sr. Python Developer,Remote,Evalueserve,Full-time,"Duration Full time, permanent role.Provide technical guidance to development teams on diverse projects, from discovery and gathering requirements to software…"
2,Full Stack Developer (CR051922-PE-GD-DC),Remote,"Crown Consulting, Inc.",Full-time,Actively participates/leads junior developers through successful delivery of information dissemination products for the Office of Information Technology at…
3,Jr. Java Developer,Remote,Emonics,"From $60,000 a year",Bachelors / Master’s / Associate Degree in Computer Science /Engineering/MIS/Associate is preferred.Some programming experience like Java/JavaScript/Core Java…
4,"Sr Software engineer/C++ developer (Medical imaging, MATLAB,...",Remote,The Tolan Group,"$120,000 - $150,000 a year","You will be working with a top-notch team of like-skilled professionals to productize research, release products and support customers."
5,SQL Developer,Remote,Highbrow-Tech,,"As needed, help and mentor more junior developers on implementation.As a DB/SQL/ETL Senior Engineer you will work closely with full stack developers, business…"
6,Java Developer,+1 locationRemote,Cherokee Federal,"$60,000 - $70,000 a year",Assessing large coding efforts to identify logical components that can be assigned to junior team members.Requires a minimum of a Bachelor’s Degree in Computer…
7,Software Development Engineer,+11 locationsRemote,Amazon.com Services LLC,Full-time,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems."
8,Junior ETL Developer - Clearance Required,"Remote in Dayton, OH 45412",Logistics Management Institute,Full-time,"LMI is seeking a junior ETL developer to support a client based in Dayton, OH (Remote applicants welcomed!).Help maintain a trusted data foundation through ETL…"
9,Jr. Crawl Engineer / Web Developer (Remote),"Remote in Boston, MA 02110",Hanzo,Full-time,Hanzo brings context and a greater understanding of enterprise data to corporate legal and compliance teams by providing in-house control over dynamic and…
10,Software Engineer,+1 locationRemote,Orion Health,"$80,000 - $115,000 a year","Skills: 2+ years of experience and proficiency in multiple modern programming languages such as Java, Ruby, C++, python."
11,AI/ML Junior Architect/Developer,Remote,DMI,Full-time,"DMI (Digital Management, LLC.) is a global technology solutions company that specializes in digital strategy, design, transformation and support."
